Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2017,SEC,Missouri,7,6,13,8.1,1.1,11.1,76.8,28,35.5,24,26.4,61,2,7,0.88,56
2017,Big 12,Kansas State,8,5,13,7.2,-0.8,10.9,76.4,29,34.4,32,26.1,59,2.6,1,0.872,49
2017,Big 12,Texas,7,6,13,6.5,-0.5,10.6,75.5,30,26.7,81,16.3,14,0.2,63,0.853,34
2017,ACC,Wake Forest,8,5,13,7.4,-0.6,10.5,75.3,31,35.7,21,25.1,51,0,70,0.827,17
2017,AAC,South Florida,10,2,12,9.8,-0.2,10.2,74.7,32,31.6,47,21.2,29,-0.2,73,0.958,106
2017,Big Ten,Indiana,5,7,12,5.5,0.5,10.2,74.6,33,28.6,66,20.2,25,1.8,11,0.821,11
2017,SEC,Florida,4,7,11,5.1,1.1,10.1,74.4,34,30.8,51,22.4,33,1.7,15,0.818,7
2017,Big Ten,Iowa,8,5,13,6.9,-1.1,9.8,73.7,35,28.4,70,19.4,21,0.8,38,0.819,10
2017,SEC,Texas A&M,7,6,13,5.5,-1.5,9.4,72.6,36,33.1,38,25.2,52,1.5,18,0.822,12
2017,Pac-12,Oregon,7,6,13,7.9,0.9,9.1,72,37,35,28,25.1,50,-0.7,92,0.897,64
2017,MWC,Boise State,11,3,14,10.7,-0.3,9.1,71.8,38,28.6,64,20.5,27,1,29,0.957,104
2017,ACC,Georgia Tech,5,6,11,6,1,8.9,71.4,39,34.9,29,25.1,49,-0.9,103,0.829,20
2017,Pac-12,Washington State,9,4,13,7.5,-1.5,8.6,70.6,40,30.9,50,22.1,30,-0.3,79,0.879,55
2017,SEC,South Carolina,9,4,13,7.9,-1.1,7.8,68.5,41,28.4,69,19.7,22,-0.8,95,0.853,33
2017,AAC,Memphis,10,3,13,9,-1,7.8,68.5,42,37.6,17,30.6,86,0.7,41,0.94,85
2017,AAC,Houston,7,5,12,7.5,0.5,7.7,68.3,43,32.3,43,25.8,57,1.3,22,0.948,94
2017,Big 12,Iowa State,8,5,13,7.5,-0.5,7.5,67.7,44,38.2,13,30.7,88,0,68,0.862,43
2017,MAC,Toledo,11,3,14,10.2,-0.8,6.6,65.3,45,32.2,45,25.7,54,0.1,64,0.963,111
2017,ACC,Duke,7,6,13,7,0,6.1,63.9,46,25.5,87,19.2,20,-0.2,74,0.873,51
2017,ACC,Pittsburgh,5,7,12,6,1,6,63.5,47,31.4,48,25,48,-0.4,82,0.85,32
2017,Big Ten,Purdue,7,6,13,8,1,5.8,62.9,48,28.6,63,22.1,32,-0.7,90,0.846,30
2017,Big 12,West Virginia,7,6,13,7.2,0.2,5.6,62.5,49,33.6,36,27.2,65,-0.8,93,0.856,36
2017,C-USA,Florida Atlantic,11,3,14,11.1,0.1,5.1,61,50,34.7,30,31.3,89,1.8,13,0.948,95
2017,Pac-12,UCLA,6,7,13,6.6,0.6,4.9,60.5,51,39.3,9,34.5,104,0.1,65,0.867,45
2017,Big 12,Texas Tech,6,7,13,6.9,0.9,4.8,60.1,52,34.4,33,28.3,70,-1.3,109,0.857,37
